ticker,sharpe,max_dd,score
GM,0.4265241866689332,-0.4925240577399228,0.1802621577989718
REGN,0.3809432088982126,-0.4049847699946372,0.178450823900894
IQV,0.3989348516237989,-0.44659437661481194,0.1756376633163929
ETR,0.4280681055676311,-0.5144622535734649,0.17083697878089865
ODFL,0.41712880917055245,-0.510416882210611,0.16192036806524696
FCX,0.4237976019798943,-0.5284381574474283,0.15957852325618016
TDG,0.4453476593810233,-0.5751793073312316,0.1577580057154075
AES,0.3737341306934861,-0.43201869682203087,0.15772478228247067
WMB,0.36968345877861275,-0.4378237134245555,0.150771602066335
LIN,0.29382014288627684,-0.28649138048779155,0.15057445264238106
MPWR,0.4206891557062763,-0.5461021110143174,0.1476381001991176
TFC,0.390265920373634,-0.4865141837505037,0.14700882849838215
HBAN,0.3644304989683563,-0.43607310757815254,0.14639394517928
CSCO,0.351754164750651,-0.4111161797989037,0.14619607485119918
ABT,0.31366683195592177,-0.34493861474393983,0.14119752458395185
BRO,0.3770299783753816,-0.47172401993840063,0.1411679684061813
DD,0.3375687413703777,-0.3941167825408277,0.14051035009996382
DTE,0.28789871303441733,-0.2966658741183307,0.139565775975252
LMT,0.33491029028947755,-0.3965690336348031,0.136625773472076
MLM,0.3392009744442049,-0.4125578738983624,0.13292203749502368
ALB,0.4191728416818981,-0.5803670822732652,0.12898930054526553
TEL,0.39588161921607623,-0.5402779801404666,0.12574262914584294
RTX,0.3273738538440728,-0.4050106744875117,0.12486851660031695
MO,0.263836930406893,-0.2803584762591219,0.12365769227733203
EMR,0.304143582137186,-0.36783555866309414,0.12022580280563894
LYV,0.39418007461664206,-0.5492201598005282,0.11956999471637797
PANW,0.33672771065946494,-0.4370850688472444,0.11818517623584274
ATO,0.30062202570172813,-0.3666589935073383,0.11729252894805897
STE,0.2905312166462499,-0.34680422257015964,0.1171291053611701
ADBE,0.38100537986684874,-0.5282298959461166,0.11689043189379045
SO,0.2915959826036654,-0.35097586440167694,0.11610805040282696
OKE,0.4079408867943257,-0.5873990484111544,0.11424136258874851
XEL,0.30889313023779247,-0.3906778925763814,0.11355418394960176
CMCSA,0.2526126824625004,-0.28732730871826817,0.10894902810336632
MAR,0.3720790053618933,-0.5319880641482386,0.106084973287774
EA,0.33762310940416396,-0.4636629980880449,0.10579161036014151
ALL,0.2936092738144618,-0.37758536025738954,0.10481659368576701
LOW,0.2643756344034967,-0.323936414278714,0.1024074272641397
NOC,0.28559591467833934,-0.3743886333895814,0.09840159798354864
PM,0.269659866506865,-0.34640566377902315,0.09645703461735344
DIS,0.29938819268823536,-0.4082585471545638,0.09525891911095347
EQR,0.22269201577369432,-0.2586684806555446,0.09335777544592203
HD,0.2650018408511337,-0.3469478013839411,0.09152794015916316
VMC,0.26031035347963793,-0.3378693650325746,0.09137567096335064
CINF,0.2451802056337931,-0.3105495738264745,0.08990541872055585
CAH,0.3446713599739454,-0.5180226837145608,0.08566001811666496
SBUX,0.25441869850195914,-0.3386704450600051,0.08508347597195659
DLR,0.24759731978336305,-0.3305975626632772,0.08229853845172444
